"";"UF";"ETAPA";"COR";"taxa_pd";"se.pd"
"146";"Rio de Janeiro";"Regular do ensino fundamental";"Negra";0,61056336386203;0,0118583653601717
"147";"Rio de Janeiro";"Regular do ensino fundamental";"Outros";0,00332818778730255;0,00102674182657823
"148";"São Paulo";"Regular do ensino fundamental";"Branca";0,554759006137773;0,0133809210260148
"149";"São Paulo";"Regular do ensino fundamental";"Negra";0,436303192152029;0,0134690685246147
"150";"São Paulo";"Regular do ensino fundamental";"Outros";0,0089378017101977;0,0017049209725169
"151";"Paraná";"Regular do ensino fundamental";"Branca";0,616383820788983;0,0139973565048846
"152";"Paraná";"Regular do ensino fundamental";"Negra";0,373506506818445;0,0141071027631532
"153";"Paraná";"Regular do ensino fundamental";"Outros";0,0101096723925715;0,00263679802826809
"154";"Santa Catarina";"Regular do ensino fundamental";"Branca";0,746389599794303;0,0104585341036668
"155";"Santa Catarina";"Regular do ensino fundamental";"Negra";0,245444848471707;0,0103901737334629
"156";"Santa Catarina";"Regular do ensino fundamental";"Outros";0,00816555173398998;0,00211551679539162
"157";"Rio Grande do Sul";"Regular do ensino fundamental";"Branca";0,739193673392521;0,0147090976891481
"158";"Rio Grande do Sul";"Regular do ensino fundamental";"Negra";0,258497519976335;0,0145606966216874
"159";"Rio Grande do Sul";"Regular do ensino fundamental";"Outros";0,00230880663114399;0,000949163707323473
"160";"Mato Grosso do Sul";"Regular do ensino fundamental";"Branca";0,442384333341839;0,0191982830518793
"161";"Mato Grosso do Sul";"Regular do ensino fundamental";"Negra";0,542966966513991;0,0185880333653893
"162";"Mato Grosso do Sul";"Regular do ensino fundamental";"Outros";0,0146487001441699;0,00538819453161618
"163";"Mato Grosso";"Regular do ensino fundamental";"Branca";0,237863892001162;0,0140919718395829
"164";"Mato Grosso";"Regular do ensino fundamental";"Negra";0,75288217512975;0,0142599457928834
"165";"Mato Grosso";"Regular do ensino fundamental";"Outros";0,0092539328690883;0,00462440887367976
"166";"Goiás";"Regular do ensino fundamental";"Branca";0,310982280940238;0,0117635625100258
"167";"Goiás";"Regular do ensino fundamental";"Negra";0,683802710596925;0,0117321888999605
"168";"Goiás";"Regular do ensino fundamental";"Outros";0,00521500846283688;0,00215641084913405
"169";"Distrito Federal";"Regular do ensino fundamental";"Branca";0,3825281960563;0,0202050330499003
"170";"Distrito Federal";"Regular do ensino fundamental";"Negra";0,611288477665563;0,0204197230163423
"171";"Distrito Federal";"Regular do ensino fundamental";"Outros";0,00618332627813659;0,00278984081319095
"172";"Rondônia";"Regular do ensino médio";"Branca";0,245681878191192;0,0329574976975884
"173";"Rondônia";"Regular do ensino médio";"Negra";0,747482143103229;0,0334535856370687
"174";"Rondônia";"Regular do ensino médio";"Outros";0,00683597870557883;0,00428934402855129
"175";"Acre";"Regular do ensino médio";"Branca";0,191879746275174;0,0233641281365078
"176";"Acre";"Regular do ensino médio";"Negra";0,797081519371189;0,022110252148112
"177";"Acre";"Regular do ensino médio";"Outros";0,0110387343536364;0,0059119304166434
"178";"Amazonas";"Regular do ensino médio";"Branca";0,174113491946469;0,0167988464580029
"179";"Amazonas";"Regular do ensino médio";"Negra";0,808555004947135;0,0177547901716237
"180";"Amazonas";"Regular do ensino médio";"Outros";0,0173315031063963;0,00515810013507608
