"";"UF";"ETAPA";"COR";"total_pd";"se.pd"
"143";"Espírito Santo";"Regular do ensino fundamental";"Negra";353655,73478541;12398,2544157112
"144";"Espírito Santo";"Regular do ensino fundamental";"Outros";2168,01116763;846,447315211894
"145";"Rio de Janeiro";"Regular do ensino fundamental";"Branca";758372,00871267;26002,5326791341
"146";"Rio de Janeiro";"Regular do ensino fundamental";"Negra";1199233,44510162;35261,4120859233
"147";"Rio de Janeiro";"Regular do ensino fundamental";"Outros";6537,03504394;2016,18981413182
"148";"São Paulo";"Regular do ensino fundamental";"Branca";3002146,0864639;81005,8293382112
"149";"São Paulo";"Regular do ensino fundamental";"Negra";2361107,98804341;92374,0092953516
"150";"São Paulo";"Regular do ensino fundamental";"Outros";48368,00507786;9182,07827512016
"151";"Paraná";"Regular do ensino fundamental";"Branca";906177,54039493;28456,958518544
"152";"Paraná";"Regular do ensino fundamental";"Negra";549111,11592287;25528,2701692703
"153";"Paraná";"Regular do ensino fundamental";"Outros";14862,74907601;3833,35182405316
"154";"Santa Catarina";"Regular do ensino fundamental";"Branca";646987,64216575;15110,1709238671
"155";"Santa Catarina";"Regular do ensino fundamental";"Negra";212757,23005546;10311,6606517439
"156";"Santa Catarina";"Regular do ensino fundamental";"Outros";7078,08772364;1848,47287907443
"157";"Rio Grande do Sul";"Regular do ensino fundamental";"Branca";969093,22882873;25626,3214632228
"158";"Rio Grande do Sul";"Regular do ensino fundamental";"Negra";338893,85866681;22372,6926062434
"159";"Rio Grande do Sul";"Regular do ensino fundamental";"Outros";3026,87773645;1258,98272353198
"160";"Mato Grosso do Sul";"Regular do ensino fundamental";"Branca";176276,83421488;9534,66355048828
"161";"Mato Grosso do Sul";"Regular do ensino fundamental";"Negra";216355,9844385;10918,8462385709
"162";"Mato Grosso do Sul";"Regular do ensino fundamental";"Outros";5837,06585464;2171,0660752651
"163";"Mato Grosso";"Regular do ensino fundamental";"Branca";118768,92160756;7656,61938289753
"164";"Mato Grosso";"Regular do ensino fundamental";"Negra";375925,08591963;14575,2603185676
"165";"Mato Grosso";"Regular do ensino fundamental";"Outros";4620,62408146;2321,30849374521
"166";"Goiás";"Regular do ensino fundamental";"Branca";291783,20421022;12054,0225208552
"167";"Goiás";"Regular do ensino fundamental";"Negra";641586,86257738;22194,4530841576
"168";"Goiás";"Regular do ensino fundamental";"Outros";4893,05009491;2011,96382296331
"169";"Distrito Federal";"Regular do ensino fundamental";"Branca";146654,11726323;9344,91203473112
"170";"Distrito Federal";"Regular do ensino fundamental";"Negra";234356,50759724;10941,1213878541
"171";"Distrito Federal";"Regular do ensino fundamental";"Outros";2370,57102305;1044,27293793942
"172";"Rondônia";"Regular do ensino médio";"Branca";19704,1950029;2885,68443431564
"173";"Rondônia";"Regular do ensino médio";"Negra";59949,6145883;4371,68885058472
"174";"Rondônia";"Regular do ensino médio";"Outros";548,25963739;349,778684192737
"175";"Acre";"Regular do ensino médio";"Branca";8385,35726465;1098,50980000271
"176";"Acre";"Regular do ensino médio";"Negra";34833,34452294;2034,90672739497
"177";"Acre";"Regular do ensino médio";"Outros";482,40490777;262,40557308298
"178";"Amazonas";"Regular do ensino médio";"Branca";39174,49861549;3936,73253960173
"179";"Amazonas";"Regular do ensino médio";"Negra";181920,06011566;10302,872020413
"180";"Amazonas";"Regular do ensino médio";"Outros";3899,48496728;1130,13552943454
"181";"Roraima";"Regular do ensino médio";"Branca";5022,39146167;880,88804560925
"182";"Roraima";"Regular do ensino médio";"Negra";17382,73072506;1507,7162395841
"183";"Roraima";"Regular do ensino médio";"Outros";1467,55728415;512,584424987021
"184";"Pará";"Regular do ensino médio";"Branca";81132,02931454;8439,91523678585
"185";"Pará";"Regular do ensino médio";"Negra";308269,20779771;14621,9208440021
"186";"Pará";"Regular do ensino médio";"Outros";8279,80946791;3090,19894507339
"187";"Amapá";"Regular do ensino médio";"Branca";8376,17164254;1701,61391320588
"188";"Amapá";"Regular do ensino médio";"Negra";32163,34256775;3308,11402460379
"189";"Amapá";"Regular do ensino médio";"Outros";0;0
"190";"Tocantins";"Regular do ensino médio";"Branca";13021,77771455;2405,27092466276
"191";"Tocantins";"Regular do ensino médio";"Negra";62954,18858614;4799,22458306504
"192";"Tocantins";"Regular do ensino médio";"Outros";958,1232651;545,813871206897
"193";"Maranhão";"Regular do ensino médio";"Branca";58245,45654878;4870,31173387123
"194";"Maranhão";"Regular do ensino médio";"Negra";294811,37912258;10555,0700549813
"195";"Maranhão";"Regular do ensino médio";"Outros";1213,93553368;513,198693631167
"196";"Piauí";"Regular do ensino médio";"Branca";24171,79881696;3138,75467242766
"197";"Piauí";"Regular do ensino médio";"Negra";109273,49449795;7558,76613506565
"198";"Piauí";"Regular do ensino médio";"Outros";344,27390977;314,216931390009
"199";"Ceará";"Regular do ensino médio";"Branca";113177,12469803;7872,63912907571
"200";"Ceará";"Regular do ensino médio";"Negra";282238,9855053;11905,4676730853
"201";"Ceará";"Regular do ensino médio";"Outros";1992,64617973;1031,04859038639
"202";"Rio Grande do Norte";"Regular do ensino médio";"Branca";55734,07902399;6401,95821882197
"203";"Rio Grande do Norte";"Regular do ensino médio";"Negra";78964,23895534;6383,67825838633
"204";"Rio Grande do Norte";"Regular do ensino médio";"Outros";749,70458278;680,813339225326
"205";"Paraíba";"Regular do ensino médio";"Branca";48159,45521969;5263,57288972565
"206";"Paraíba";"Regular do ensino médio";"Negra";105558,37389165;6838,40886735321
"207";"Paraíba";"Regular do ensino médio";"Outros";0;0
"208";"Pernambuco";"Regular do ensino médio";"Branca";122777,02423024;9668,68381596543
"209";"Pernambuco";"Regular do ensino médio";"Negra";243604,4407233;11552,0016126711
"210";"Pernambuco";"Regular do ensino médio";"Outros";7687,20424991;2677,05113720911
"211";"Alagoas";"Regular do ensino médio";"Branca";37991,73867164;3030,1566052338
